Timestamp,Your graduation year?,"Knowledge and Interest Level [whens, whys, and hows... transistors as switches - controlling big loads from tiny computers]","Knowledge and Interest Level [whens, whys, and hows... H-Bridges for switching]","Knowledge and Interest Level [whens, whys, and hows... protection diodes on inductive loads]","Knowledge and Interest Level [whens, whys, and hows... pull-up, pull-down, current limiting, and voltage-dividing resistors]","Knowledge and Interest Level [whens, whys, and hows... different types of motors - ""why a hacked servo isn't the solution to all of your problems""]","Knowledge and Interest Level [whens, whys, and hows... Datasheets: relevant info from 40 pages on a resistor]","Knowledge and Interest Level [whens, whys, and hows... prototyping techniques from breadboard to wirewrap]","Knowledge and Interest Level [whens, whys, and hows... circuit board design and fabrication]","Knowledge and Interest Level [orders of magnitude: estimating power draw for sensing, thinking, and doing.]",Knowledge and Interest Level [orders of magnitude: estimation for prototyping.],"Knowledge and Interest Level [types of microcontrollers: architectures, peripherals, and families]",Knowledge and Interest Level [digital communication: data buses and moving information around],Comments on the above?,"Knowledge and Interest Level [Soldering: Surface Mount, Through-Hole, Freeform. The good, bad, and ugly.]","Knowledge and Interest Level [where to go when it doesn't work: application notes, reference designs, forums and more in the EE world.]","Knowledge and Interest Level [lab equipment: advanced usage. - ""what's the trigger knob do?""]",Classes you've taken or are taking?,Comments.
2/24/2011 0:31:41,2011,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.",Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Please teach me!,Please teach me!,It all sounds excellent.,"Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE, Relevant IS"
2/24/2011 21:17:13,2011,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, useless.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.",,"Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE, Relevant IS"
2/24/2011 21:54:32,2011,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, useless.","Know it, live it, want more.",,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE"
2/24/2011 22:29:34,2011,"Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, useless.","Know it, live it, want more.",Don't know. Don't care.,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","I think good design practices, like an EE/EC design depth based course, that's not HFID, but more hardware worthy, would be a great class. For example, a course that emphasizes on designing not just something that works, but works under all the constraints the user would have, and reduce the number of extraneous inputs a user would have to give it, and how to prepare the system for a mechanical engineer to package or a computer engineer to use in his next  computing system, would be great.","Know it, live it, want more.",Please teach me!,Please teach me!,"POE, ModCon, ModCon II, SCOPE","I would have loved to help out more a year or so ago. Unfortunately, time's up for me, and I switched to a much more permanent software track than my original hardware-ish ECE concentration. Now I don't have the time nor the vested interest in making this happen, but I think it should. For realsies."
2/28/2011 11:00:57,2011,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"POE, ModCon, ModCon II, SCOPE"
2/28/2011 11:01:03,2011,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"POE, ModCon, ModCon II, SCOPE",I dont a give a shit. I'm graduating. 
2/28/2011 11:03:22,2011,"Know it, live it, want more.","Know it, live it, want more.",Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,"Know it, live it, want more.",Please teach me!,Please teach me!,Please teach me!,Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Looks pretty good. From a design point of view, I might add stuff about costing electronics. Ex. why shouldn't I always use OPA551 anytime I need an op-amp?",Please teach me!,Don't know. Sounds interesting.,"Know it, live it, want more.","POE, ModCon, ModCon II, SCOPE","I would totally take this class. DFM (which I'm in this semester) is better than usual in terms of being ECE-friendly, but more of this information would be great. I feel like you learn a lot of it in sensors, POE, and SCOPE, but it would be nice to get some of it without blowing out a ton of components first =). "
2/28/2011 11:04:06,2011,"Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","Noise, error sources, diagnosis are worth knowing, though I am uncertain if anyone else is actually interested in those things.","Know it, live it, want more.",Don't know. Sounds interesting.,"Know it, live it, want more.","POE, Mech Proto, ModCon, ModCon II, SCOPE"
2/28/2011 11:06:05,2011,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Don't know. Don't care.,Don't know. Don't care.,Please teach me!,Don't know. Don't care.,Motors guide would be esp helpful,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"POE, ModCon, ModCon II, SCOPE",Design
2/28/2011 11:17:27,2011,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,"Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,"Know it, useless.","Know it, useless.",Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Sounds interesting.,Don't know. Don't care.,,Don't know. Don't care.,Don't know. Don't care.,Don't know. Don't care.,"POE, ModCon, SCOPE","I'm really a design-y (which you TOTALLY DIDN't include on passions!!!)

I sorta wish I knew more ECE stuff, but um. it was hard, uninteresting, and I didn't see too many applications that were like ""right now this is awesome"". I like the end stuff where I make things pretty and user-friendly. 

But I do really want to know *how* things work, even if I don't deal with them day-to-day. "
